Department,Course Catalogue Number,Course Name,Description,Graduate/Undergraduate,Lab,Year,Keywords
Agricultural Economics (AGEC),AGEC 4243,Researching Consumer Food Preferences,"Design, implementation, and interpretation of research in consumer food preferences. Includes design of consumer surveys, conducting consumer interviews, preparing food and questionnaires for taste-test experiments, targeting and recruiting scientifically valid samples, the statistical analysis of data, and communication of results. Previously offered as FDSC 4243.",Undergraduate,FALSE,2020-2021,"['food', ' taste']"
Agricultural Economics (AGEC),AGEC 4343,International Agricultural Markets and Trade (I),"Contemporary international agricultural trade theory and applications. Tools to identify, evaluate critically, and seek solutions to complex international trade and development problems, such as gains from trade, comparative advantage, impacts of trade barriers on social welfare, export promotion effectiveness, trade impacts on environment and land degradation, free trade areas and impacts of genetically modified crops on trade.

",Undergraduate,FALSE,2020-2021,"['agri', 'crop', 'land']"
Agricultural Economics (AGEC),AGEC 4403,Advanced Farm and Ranch Management,"The development of problem solving and risk management skills needed on the modern farm or ranch. Use of spreadsheets to perform production planning and analysis of farm and ranch problems with linear programming, simulations, and other tools. Analysis of the acquisition of resources and the use of information systems in managing the individual farm or ranch business. May not be used for Degree Credit with AGEC 5043.",Undergraduate,FALSE,2020-2021,"['farm', ' ranch']"
Agricultural Economics (AGEC),AGEC 4423,Advanced Agribusiness Management,"Application of modern decision theory in the uncertain environment that the agricultural business operates. Planning, organizing, implementing, coordinating, and controlling problems associated with establishing an agricultural business, achieving firm growth and operating the firm through time. Use of spreadsheets to perform production planning and analysis related to agricultural business operation with linear programming, simulations, and other tools. Analysis of the interaction of resources, prices and production alternatives. Previously offered as AGEC 4323. May not be used for Degree Credit with AGEC 5423.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 4513,Farm Appraisal,"Estimating the market value of agricultural real estate using the three approaches to value - sales comparison, cost and income approaches. Analysis of sales to value the different characteristics of the farm. May not be used for Degree Credit with AGEC 5513.",Undergraduate,TRUE,2020-2021,"['agri', 'farm']"
Agricultural Economics (AGEC),AGEC 4613,Advanced Agricultural Finance,Advanced time value of money and financial management concepts as applied to the management of agricultural firms. Incorporating risk into agricultural investment and financial management decisions. Introduction to risk modeling. May not be used for degree credit with AGEC 5603.,Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 4703,American Agricultural Policy,Economic characteristics and problems of agriculture; evolution and significance of programs and policies. May not be used for Degree Credit with AGEC 5703.,Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 4723,Rural Economics Development,"Concepts, theories, and applications of regional and community economics, including the theories of economic development, analytic techniques, infrastructure and community services, targeted development and associated policies. Focus on domestic rural areas. May not be used for Degree Credit with AGEC 5073.",Undergraduate,FALSE,2020-2021,[' rural ']
Agricultural Economics (AGEC),AGEC 4990,Problems of Agricultural Economics,"Research on special problems in agricultural economics.

Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.",Undergraduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 5000,Master's Thesis/Report,"For students working on an MS degree in agricultural economics. Independent research and thesis under the direction and supervision of a major professor.

Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 5010,Professional Experience in Agricultural Economics or Agribusiness,"Supervised professional experience with approved public and private employers in agricultural economics or agribusiness. Designed for Master of Agriculture program. Graded on pass-fail basis.

Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 5013,Advanced Quantitative Methods in Agricultural Economics,Quantitative analysis of agricultural production and markets including risk and uncertainty. Introduction to simulation. Development of statistical and software skills. Written presentation of an analysis of data. May not be used for degree credit with AGEC 4213.,Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 5023,Quantitative Supply Chain Management in Agribusiness,"Challenge in food supply chain management. Tools to solve logistics problems including traveling salesperson, vehicle routing, and distribution center problems. Forecasting sales and queuing theory. Introduction to specialized software used in supply chain management. May not be used for degree credit with AGEC 4223.",Graduate,FALSE,2020-2021,"['agri', 'food']"
Agricultural Economics (AGEC),AGEC 5043,Advanced Farm and Ranch Management,"The development of problem solving and risk management skills needed on the modern farm or ranch. Use of spreadsheets to perform production planning and analysis of farm and ranch problems with linear programming, simulations, and other tools. Analysis of the acquisition of resources and the use of information systems in managing the individual farm or ranch business. May not be used for Degree Credit with AGEC 4403.",Graduate,FALSE,2020-2021,"['farm', ' ranch']"
Agricultural Economics (AGEC),AGEC 5073,Rural Economics Development,"Concepts, theories, and applications of regional and community economics, including the theories of economic development, analytic techniques, infrastructure and community services, targeted development and associated policies. Focus on domestic rural areas. May not be used for degree credit with AGEC 4723.",Graduate,FALSE,2020-2021,[' rural ']
Agricultural Economics (AGEC),AGEC 5101,Research Methodology,"Using the scientific method to solve problems related to agriculture. Preparation of a thesis proposal required.

",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 5113,Applications of Mathematical Programming,"The application of concepts and principles of existing linear and nonlinear programming techniques to agricultural problems.



",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 5203,Advanced Agricultural Prices,"Demand and price structures, price discovery, time series and agricultural price research methods.

",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 5213,Econometric Methods,"Application of econometric techniques to agricultural economic problems, theory and estimation of structural economic parameters.

",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 5311,Agricultural Marketing: Concepts and Tools,"Role of markets and prices in the food system. Price variation across space, time, and form. Previously offered as AGEC 5303.",Graduate,FALSE,2020-2021,"['agri', 'food']"
Agricultural Economics (AGEC),AGEC 5321,Agricultural Marketing and Economic Development,"Role of marketing in economic development, focusing on international economics; role of institutions in a market economy.

",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 5331,Agricultural Marketing: Advanced Concepts,"Advanced topics in price variation across space, time, and form. Market and firm efficiency. Market structure, conduct and performance; role of information in a market economy; and other selected topics.

",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 5343,International Agricultural Markets and Trade,Contemporary international agricultural trade theory and applications. Broaden students' understanding of contemporary cultural and economic issues outside the U.S. that affect global demand. Gains from trade and the theory of comparative advantage. No credit for students with credit in AGEC 4343.,Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 5423,Agribusiness Management,"Application of quantitative analysis to the evaluation of business plans for agribusiness firms. Preparation of business plans, including mission statements, financial analyses, marketing plans, personnel and organization requirements of the firm, production and operations plans as well as a contingency plan. Analysis of risk factors associated with agriculturally-based companies. No credit for students with credit in AGEC 4423.",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 5463,Advanced Agricultural Cooperatives,"Advanced understanding of cooperative business model and management skills. Advanced cooperative finance including profit center analysis, equity management, working capital management, budgeting and capital budgeting.

",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 5483,Bio-Energy Feasibility and Commercialization,"Feasibility and commercialization of bio-fuel and bio-based projects. Issues and processes in transitioning a project from pilot scale into commercialization.

","Graduate, Undergraduate",FALSE,2020-2021,['bio-based']
Agricultural Economics (AGEC),AGEC 5503,Economics of Natural and Environmental Resource Policy,"Economics of long-term resource use with particular emphasis on agricultural and environmental problems. Methods for estimation of nonmarket prices. Cost benefits analysis of long-term natural resource use and environmental policy. Elementary computer simulation of long-term resource use and environmental policy.

",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 5513,Farm Appraisal,"Estimating the market value of agricultural real estate using the three approaches to value - sales comparison, cost and income approaches. Analysis of sales to value the different characteristics of the farm. May not be used for degree credit with AGEC 4513.",Graduate,TRUE,2020-2021,"['agri', 'farm']"
Agricultural Economics (AGEC),AGEC 5603,Advanced Agricultural Finance,"Advanced investment and financial management concepts applied firms that operate in the agricultural sector. Incorporating uncertainty and risk into financial modeling and decision making via stochastic simulation and other tools. Risk/return tradeoff for stocks, portfolio management and business investments. May not be used for degree credit with AGEC 4613. Same course as AGEC 4613.",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 5703,Economics of Agriculture and Food Policy,"Application of welfare criteria and economic analysis to agricultural, food, and rural development problems and policies. May not be used for degree credit with AGEC 4703.",Graduate,FALSE,2020-2021,"['agri', 'food', ' rural ']"
Agricultural Economics (AGEC),AGEC 5713,Rural Regional Analysis,"Concepts of market and nonmarket based rural welfare; theories of regional growth as applied to rural areas; methods of regional analysis including computable general equilibrium; analysis of policies and programs for improving welfare of rural population groups.

",Graduate,FALSE,2020-2021,[' rural ']
Agricultural Economics (AGEC),AGEC 5723,Plan & Pol Devlpmnt,"Economics of market-based planning and policy analysis for developing countries, topics and tools in macro- and microeconomics of development, and social cost-benefit and project analysis with emphasis on agricultural and public policy. Hands-on application of econometrics, input-output analysis and cost-benefit analysis using econometric software.

",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 5733,Food Import Demand and Trade Policy,"Global welfare analysis of national food and agricultural trade and development policies of developed and developing countries. Analysis of import demand systems using real world data and incorporating economic and demographic variables.
",Graduate,FALSE,2020-2021,"['agri', 'food']"
Agricultural Economics (AGEC),AGEC 5783,Bio-Energy Economics and Sustainability,"Economic issues related to supply chains producing bio-energy and bio-based products. Economic, sustainability and social dimensions of these industries. Triple bottom line objectives, life cycle analysis and the principles of feasibility analysis.

","Graduate, Undergraduate",FALSE,2020-2021,"['bio-based', 'life cycle analysis']"
Agricultural Economics (AGEC),AGEC 5990,Advanced Studies,"Investigation in designated areas of agricultural economics.

Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 6000,Doctoral Dissertation,"Open to students pursuing graduate study in agricultural economics beyond the requirements for a master's degree. Independent research and thesis under the direction and supervision of a major professor.

Offered for variable credit, 1-15 credit hours, maximum of 24 credit hours.",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 6102,Teaching Practicum in Agricultural Economics,"Philosophies of resident and nonresident teaching, general tasks performed, review, evaluation and lecture organization, preparation and presentation.

",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 6300,Agricultural Marketing Seminar,"Current developments in theory, techniques for evaluating marketing behavior, market legislation and market development.

Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 6303,Advanced Agricultural Marketing,"Marketing theory, market structure and performance, governmental regulation and policy and bargaining in agricultural markets.

",Graduate,FALSE,2020-2021,['agri']
Agricultural Economics (AGEC),AGEC 6400,Seminar in Farm Management and Production Economics,"Scientific research methodology applied to problems of resource efficiency.

Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.",Graduate,FALSE,2020-2021,['farm']
